timestamp,open,high,low,close,volume
2023-12-27 01:00:00,42358.82,42494.37,42311.48,42458.35,625.09
2023-12-27 02:00:00,42458.35,42482.6,42198.9,42228.76,696.12
2023-12-27 03:00:00,42228.76,42344.51,42121.77,42244.8,573.01
2023-12-27 04:00:00,42244.8,42344.74,42215.79,42305.32,366.71
2023-12-27 05:00:00,42305.32,42455.88,42289.06,42453.96,435.05
2023-12-27 06:00:00,42453.96,42542.57,42419.5,42431.91,463.89
2023-12-27 07:00:00,42431.91,42504.13,42406.06,42468.64,331.15
2023-12-27 08:00:00,42468.64,42753.37,42407.01,42720.52,1122.98
2023-12-27 09:00:00,42720.52,42755.13,42641.07,42749.83,551.26
2023-12-27 10:00:00,42749.83,43222.63,42715.53,43214.64,1773.33
2023-12-27 11:00:00,43214.64,43238.19,42920.08,43027.24,1531.03
2023-12-27 12:00:00,43027.24,43058.71,42788.05,42921.06,1233.67
2023-12-27 13:00:00,42921.06,42989.5,42727.81,42926.46,1282.03
2023-12-27 14:00:00,42926.46,43162.34,42846.68,42931.23,1745.2
2023-12-27 15:00:00,42931.23,43089.63,42811.81,42998.57,2054.57
2023-12-27 16:00:00,42998.57,43199.2,42910.93,43106.93,1663.75
2023-12-27 17:00:00,43106.93,43161.62,42880.92,43046.9,1583.29
2023-12-27 18:00:00,43046.9,43232.91,42962.23,43205.85,1243.53
2023-12-27 19:00:00,43205.85,43215.21,43034.08,43177.48,1011.15
2023-12-27 20:00:00,43177.48,43587.84,43142.52,43487.33,2081.46
2023-12-27 21:00:00,43487.33,43517.11,43283.11,43393.81,1599.6
2023-12-27 22:00:00,43393.81,43694.83,43327.43,43362.9,1392.8
2023-12-27 23:00:00,43362.9,43500.43,43362.1,43469.34,1382.35
2023-12-28 00:00:00,43469.34,43817.61,43424.45,43591.68,2270.68
2023-12-28 01:00:00,43591.68,43751.29,43459.28,43468.65,1605.18
2023-12-28 02:00:00,43468.65,43499.31,43342.79,43397.67,878.13
2023-12-28 03:00:00,43397.67,43452.11,43352.91,43444.89,575.16
2023-12-28 04:00:00,43444.89,43649.19,43335.69,43340.37,956.37
2023-12-28 05:00:00,43340.37,43385.4,43174.81,43238.03,1028.11
2023-12-28 06:00:00,43238.03,43252.14,43004.01,43051.15,737.31
2023-12-28 07:00:00,43051.15,43082.37,42834.71,43061.52,1346.81
2023-12-28 08:00:00,43061.52,43087.17,42940.07,42946.03,823.86
2023-12-28 09:00:00,42946.03,43113.69,42885.94,43068.58,1023.38
2023-12-28 10:00:00,43068.58,43203.61,43038.73,43120.64,732.04
2023-12-28 11:00:00,43120.64,43154.35,43036.52,43084.47,716.63
2023-12-28 12:00:00,43084.47,43151.54,42763.21,42795.39,1021.51
2023-12-28 13:00:00,42795.39,42939.97,42610.92,42807.0,1495.06
2023-12-28 14:00:00,42807.0,42838.21,42476.04,42672.57,2734.35
2023-12-28 15:00:00,42672.57,42712.43,42417.58,42456.07,2039.36
2023-12-28 16:00:00,42456.07,42571.48,42283.91,42465.38,1917.3
2023-12-28 17:00:00,42465.38,42641.67,42460.91,42552.52,1355.83
2023-12-28 18:00:00,42552.52,42648.62,42398.87,42490.08,1083.6
2023-12-28 19:00:00,42490.08,42716.16,42467.61,42620.57,1167.32
2023-12-28 20:00:00,42620.57,42625.77,42385.83,42518.11,949.88
2023-12-28 21:00:00,42518.11,42628.74,42359.39,42465.78,924.94
2023-12-28 22:00:00,42465.78,42657.37,42400.79,42657.37,670.33
2023-12-28 23:00:00,42657.37,42778.74,42557.02,42588.94,1058.92
2023-12-29 00:00:00,42588.94,42711.14,42404.61,42432.68,946.24
2023-12-29 01:00:00,42432.68,42560.44,42147.27,42355.04,1953.15
2023-12-29 02:00:00,42355.04,42627.51,42283.82,42588.21,1268.51
2023-12-29 03:00:00,42588.21,42788.12,42476.02,42715.11,899.95
2023-12-29 04:00:00,42715.11,42783.57,42614.48,42677.84,541.96
2023-12-29 05:00:00,42677.84,42716.94,42522.7,42695.53,476.34
2023-12-29 06:00:00,42695.53,42704.57,42530.93,42547.57,528.29
2023-12-29 07:00:00,42547.57,42576.18,42255.78,42309.36,2030.04
2023-12-29 08:00:00,42309.36,42539.01,42301.68,42500.49,918.94
2023-12-29 09:00:00,42500.49,42707.16,42443.21,42677.21,667.39
2023-12-29 10:00:00,42677.21,42829.17,42647.16,42721.44,1032.76
2023-12-29 11:00:00,42721.44,42957.91,42708.32,42899.56,1010.09
2023-12-29 12:00:00,42899.56,42958.37,42779.64,42846.02,742.15
2023-12-29 13:00:00,42846.02,42901.13,42737.12,42848.37,695.24
2023-12-29 14:00:00,42848.37,43134.59,42798.71,43053.4,1468.14
2023-12-29 15:00:00,43053.4,43067.83,42174.45,42295.72,3744.98
2023-12-29 16:00:00,42295.72,42376.12,41946.75,41988.85,3106.05
2023-12-29 17:00:00,41988.85,42062.3,41670.83,41809.56,3784.37
2023-12-29 18:00:00,41809.56,42106.94,41772.0,42066.13,1523.54
2023-12-29 19:00:00,42066.13,42159.93,41953.82,42116.51,1049.06
2023-12-29 20:00:00,42116.51,42125.82,41932.02,42026.0,1355.62
2023-12-29 21:00:00,42026.0,42226.07,41881.86,41925.82,1449.34
2023-12-29 22:00:00,41925.82,41935.31,41296.86,41771.62,1774.63
